id,site,is_active,is_new,first_date,last_date,days_online,url,type,nb_units,nb_units_residential,nb_units_commercial,lat,lng,address,city,borough,first_price,last_price,is_price_changed,potential_revenue
22443446,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/triplexes~for-sale~sorel-tracy/22443446?view=Summary,Triplex,3.0,,,46.02993673,-73.12109942,"11, Place Éthier",Sorel-Tracy,,179000.0,179000.0,0,17220.0
18169552,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/duplexes~for-sale~saint-constant/18169552?view=Summary,Duplex,2.0,,,45.371589,-73.570554,"138 - 140, Rue Saint-Pierre",Saint-Constant,,359000.0,359000.0,0,25200.0
15836328,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/duplexes~for-sale~cowansville/15836328?view=Summary,Duplex,2.0,,,45.19708935,-72.74664742,"223 - 225, Rue Rodrigue",Cowansville,,209000.0,209000.0,0,14880.0
13103196,centris,0,0,2020-03-29,2020-04-15,17,https://www.centris.ca/en/4plex~for-sale~saint-hyacinthe/13103196?view=Summary,Quadruplex,4.0,,,45.6274,-72.94382900000002,"633 - 651, Avenue Robert",Saint-Hyacinthe,,295000.0,295000.0,0,25440.0
24581145,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/4plex~for-sale~yamaska/24581145?view=Summary,Quadruplex,4.0,,,46.00916784,-72.91779182,"41 - 47, Rue Lauzière",Yamaska,,489000.0,489000.0,0,32100.0
27186645,centris,0,0,2020-03-29,2020-05-11,43,https://www.centris.ca/en/triplexes~for-sale~farnham/27186645?view=Summary,Triplex,3.0,,,45.28328814,-72.97892102,"389 - 393, Rue Meigs",Farnham,,299000.0,299000.0,0,28164.0
26448300,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/duplexes~for-sale~longueuil-saint-hubert/26448300?view=Summary,Duplex,2.0,,,45.49176534,-73.3739869,"1148 - 1150, Rue Pinard",Longueuil,Saint-Hubert,449000.0,449000.0,0,25620.0
13333126,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/duplexes~for-sale~saint-denis-sur-richelieu/13333126?view=Summary,Duplex,2.0,,,45.7820475,-73.16156088,"664 - 100, Chemin des Patriotes",Saint-Denis-sur-Richelieu,,239900.0,239900.0,0,16200.0
9155909,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/duplexes~for-sale~saint-jean-sur-richelieu/9155909?view=Summary,Duplex,2.0,,,45.311615,-73.257789,"396 - 398, Rue Mercier",Saint-Jean-sur-Richelieu,,279900.0,269900.0,1,19800.0
22952203,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/duplexes~for-sale~salaberry-de-valleyfield/22952203?view=Summary,Duplex,2.0,,,45.25667708,-74.12639904,"137 - 137A, Rue Victoria",Salaberry-de-Valleyfield,,239500.0,239500.0,0,23292.0
28064048,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/triplexes~for-sale~brossard/28064048?view=Summary,Triplex,3.0,,,45.44773008,-73.44477615,"7960 - 7964, Rue Lemelin",Brossard,,998000.0,998000.0,0,40080.0
19636925,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/triplexes~for-sale~longueuil-le-vieux-longueuil/19636925?view=Summary,Triplex,3.0,,,45.53657119,-73.50181916,"586 - 588, Rue Grant",Longueuil,Le Vieux-Longueuil,539900.0,529900.0,1,37200.0
25777320,centris,0,0,2020-03-29,2020-05-01,33,https://www.centris.ca/en/duplexes~for-sale~roxton-pond/25777320?view=Summary,Duplex,2.0,,,45.477016,-72.656739,"978 - 980, Rue Principale",Roxton Pond,,179900.0,179900.0,0,15000.0
